date,value,source,notes
2012-02,79,clinicaltrials_gov_v2,
2012-03,145,clinicaltrials_gov_v2,
2012-04,105,clinicaltrials_gov_v2,
2012-05,105,clinicaltrials_gov_v2,
2012-06,126,clinicaltrials_gov_v2,
2012-07,100,clinicaltrials_gov_v2,
2012-08,84,clinicaltrials_gov_v2,
2012-09,80,clinicaltrials_gov_v2,
2012-10,110,clinicaltrials_gov_v2,
2012-11,101,clinicaltrials_gov_v2,
2012-12,80,clinicaltrials_gov_v2,
2013-01,92,clinicaltrials_gov_v2,
2013-02,91,clinicaltrials_gov_v2,
2013-03,79,clinicaltrials_gov_v2,
2013-04,85,clinicaltrials_gov_v2,
2013-05,112,clinicaltrials_gov_v2,
2013-06,107,clinicaltrials_gov_v2,
2013-07,98,clinicaltrials_gov_v2,
2013-08,95,clinicaltrials_gov_v2,
2013-09,86,clinicaltrials_gov_v2,
2013-10,102,clinicaltrials_gov_v2,
2013-11,116,clinicaltrials_gov_v2,
2013-12,120,clinicaltrials_gov_v2,
2014-01,108,clinicaltrials_gov_v2,
2014-02,118,clinicaltrials_gov_v2,
2014-03,119,clinicaltrials_gov_v2,
2014-04,156,clinicaltrials_gov_v2,
2014-05,113,clinicaltrials_gov_v2,
2014-06,137,clinicaltrials_gov_v2,
2014-07,136,clinicaltrials_gov_v2,
2014-08,106,clinicaltrials_gov_v2,
2014-09,112,clinicaltrials_gov_v2,
2014-10,114,clinicaltrials_gov_v2,
2014-11,109,clinicaltrials_gov_v2,
2014-12,137,clinicaltrials_gov_v2,
2015-01,93,clinicaltrials_gov_v2,
2015-02,101,clinicaltrials_gov_v2,
2015-03,125,clinicaltrials_gov_v2,
2015-04,135,clinicaltrials_gov_v2,
2015-05,126,clinicaltrials_gov_v2,
2015-06,142,clinicaltrials_gov_v2,
2015-07,134,clinicaltrials_gov_v2,
2015-08,119,clinicaltrials_gov_v2,
2015-09,133,clinicaltrials_gov_v2,
2015-10,146,clinicaltrials_gov_v2,
2015-11,113,clinicaltrials_gov_v2,
2015-12,111,clinicaltrials_gov_v2,
2016-01,104,clinicaltrials_gov_v2,
2016-02,98,clinicaltrials_gov_v2,
2016-03,153,clinicaltrials_gov_v2,
2016-04,131,clinicaltrials_gov_v2,
2016-05,149,clinicaltrials_gov_v2,
2016-06,157,clinicaltrials_gov_v2,
2016-07,147,clinicaltrials_gov_v2,
2016-08,190,clinicaltrials_gov_v2,
2016-09,178,clinicaltrials_gov_v2,
2016-10,130,clinicaltrials_gov_v2,
2016-11,128,clinicaltrials_gov_v2,
2016-12,132,clinicaltrials_gov_v2,
2017-01,130,clinicaltrials_gov_v2,
2017-02,163,clinicaltrials_gov_v2,
2017-03,147,clinicaltrials_gov_v2,
2017-04,144,clinicaltrials_gov_v2,
2017-05,164,clinicaltrials_gov_v2,
2017-06,137,clinicaltrials_gov_v2,
2017-07,158,clinicaltrials_gov_v2,
2017-08,165,clinicaltrials_gov_v2,
2017-09,137,clinicaltrials_gov_v2,
2017-10,140,clinicaltrials_gov_v2,
2017-11,146,clinicaltrials_gov_v2,
2017-12,142,clinicaltrials_gov_v2,
2018-01,139,clinicaltrials_gov_v2,
2018-02,151,clinicaltrials_gov_v2,
2018-03,144,clinicaltrials_gov_v2,
2018-04,148,clinicaltrials_gov_v2,
2018-05,150,clinicaltrials_gov_v2,
2018-06,155,clinicaltrials_gov_v2,
2018-07,167,clinicaltrials_gov_v2,
2018-08,232,clinicaltrials_gov_v2,
2018-09,164,clinicaltrials_gov_v2,
2018-10,172,clinicaltrials_gov_v2,
2018-11,154,clinicaltrials_gov_v2,
2018-12,128,clinicaltrials_gov_v2,
2019-01,161,clinicaltrials_gov_v2,
2019-02,158,clinicaltrials_gov_v2,
2019-03,183,clinicaltrials_gov_v2,
2019-04,186,clinicaltrials_gov_v2,
2019-05,179,clinicaltrials_gov_v2,
2019-06,141,clinicaltrials_gov_v2,
2019-07,186,clinicaltrials_gov_v2,
2019-08,176,clinicaltrials_gov_v2,
2019-09,147,clinicaltrials_gov_v2,
2019-10,184,clinicaltrials_gov_v2,
2019-11,175,clinicaltrials_gov_v2,
2019-12,154,clinicaltrials_gov_v2,
2020-01,171,clinicaltrials_gov_v2,
2020-02,192,clinicaltrials_gov_v2,
2020-03,184,clinicaltrials_gov_v2,
2020-04,160,clinicaltrials_gov_v2,
2020-05,166,clinicaltrials_gov_v2,
2020-06,203,clinicaltrials_gov_v2,
2020-07,206,clinicaltrials_gov_v2,
2020-08,147,clinicaltrials_gov_v2,
2020-09,160,clinicaltrials_gov_v2,
2020-10,171,clinicaltrials_gov_v2,
2020-11,174,clinicaltrials_gov_v2,
2020-12,183,clinicaltrials_gov_v2,
2021-01,172,clinicaltrials_gov_v2,
2021-02,191,clinicaltrials_gov_v2,
2021-03,219,clinicaltrials_gov_v2,
2021-04,173,clinicaltrials_gov_v2,
2021-05,172,clinicaltrials_gov_v2,
2021-06,185,clinicaltrials_gov_v2,
2021-07,179,clinicaltrials_gov_v2,
2021-08,225,clinicaltrials_gov_v2,
2021-09,152,clinicaltrials_gov_v2,
2021-10,183,clinicaltrials_gov_v2,
2021-11,150,clinicaltrials_gov_v2,
2021-12,153,clinicaltrials_gov_v2,
2022-01,176,clinicaltrials_gov_v2,
2022-02,200,clinicaltrials_gov_v2,
2022-03,190,clinicaltrials_gov_v2,
2022-04,173,clinicaltrials_gov_v2,
2022-05,201,clinicaltrials_gov_v2,
2022-06,163,clinicaltrials_gov_v2,
2022-07,184,clinicaltrials_gov_v2,
2022-08,190,clinicaltrials_gov_v2,
