date,value,source,notes
2012-02,1,clinicaltrials_gov_v2,
2012-03,6,clinicaltrials_gov_v2,
2012-04,4,clinicaltrials_gov_v2,
2012-05,1,clinicaltrials_gov_v2,
2012-06,6,clinicaltrials_gov_v2,
2012-07,2,clinicaltrials_gov_v2,
2012-08,3,clinicaltrials_gov_v2,
2012-09,3,clinicaltrials_gov_v2,
2012-10,3,clinicaltrials_gov_v2,
2012-11,2,clinicaltrials_gov_v2,
2012-12,1,clinicaltrials_gov_v2,
2013-01,3,clinicaltrials_gov_v2,
2013-02,1,clinicaltrials_gov_v2,
2013-03,2,clinicaltrials_gov_v2,
2013-04,3,clinicaltrials_gov_v2,
2013-05,4,clinicaltrials_gov_v2,
2013-06,5,clinicaltrials_gov_v2,
2013-07,4,clinicaltrials_gov_v2,
2013-08,0,clinicaltrials_gov_v2,
2013-09,2,clinicaltrials_gov_v2,
2013-10,7,clinicaltrials_gov_v2,
2013-11,3,clinicaltrials_gov_v2,
2013-12,3,clinicaltrials_gov_v2,
2014-01,2,clinicaltrials_gov_v2,
2014-02,7,clinicaltrials_gov_v2,
2014-03,7,clinicaltrials_gov_v2,
2014-04,3,clinicaltrials_gov_v2,
2014-05,5,clinicaltrials_gov_v2,
2014-06,5,clinicaltrials_gov_v2,
2014-07,5,clinicaltrials_gov_v2,
2014-08,1,clinicaltrials_gov_v2,
2014-09,5,clinicaltrials_gov_v2,
2014-10,4,clinicaltrials_gov_v2,
2014-11,5,clinicaltrials_gov_v2,
2014-12,4,clinicaltrials_gov_v2,
2015-01,9,clinicaltrials_gov_v2,
2015-02,5,clinicaltrials_gov_v2,
2015-03,8,clinicaltrials_gov_v2,
2015-04,6,clinicaltrials_gov_v2,
2015-05,5,clinicaltrials_gov_v2,
2015-06,4,clinicaltrials_gov_v2,
2015-07,6,clinicaltrials_gov_v2,
2015-08,1,clinicaltrials_gov_v2,
2015-09,9,clinicaltrials_gov_v2,
2015-10,2,clinicaltrials_gov_v2,
2015-11,2,clinicaltrials_gov_v2,
2015-12,4,clinicaltrials_gov_v2,
2016-01,6,clinicaltrials_gov_v2,
